Datos finales
Verde,,
,,
Agrupaciones,Centro,Claustro,
Lista 1 Frente de Izquierda y de Lucha,615,583,
Lista 3 Franja Morada,210,198,
Lista 10 Unite – CEPA,71,66,
Lista 13 ¡Ya Basta! – Las Rojas – Nuevo mas + independientes,171,163,
Lista 16 Amalgama – Arte en colectivo,524,505,
Lista 26 Emergente Cronopios + Frida Kahlo + independientes,1971,1884,Azul
Lista 34 Estudiantes Independientes de Arte y Diseño,,,	 
Lista 59 Ricardo Carpani,51,48,
Lista 73 Arte para todxs,2179,2059,VerdeAmarillo
Blanco,231,369,
Nulos ,79,78,
Impugnados,,,
TOTAL,6102,5953,
